policy,condition,command_width_m,command_df,trials,success,failure,timeout,success_rate,ci_low,ci_high,realized_df,realized_width_m,lateral_rmse_m,forward_speed_mps,mean_failure_time_s,mean_envelope_at_failure
narrow,perturbed,0.1,0.75,64,42,22,0,0.65625,0.5340364020991819,0.7607685792155665,0.7709372699434824,0.09988236427307129,0.07355022430419922,0.30129870772361755,11.660000000000002,0.9919818639755249
push_trained,nominal,0.05,0.5,64,64,0,0,1.0,0.9433759402071946,1.0,0.6755496965870356,0.13089635968208313,0.08501343429088593,0.32113152742385864,,
push_trained,nominal,0.05,0.625,64,64,0,0,1.0,0.9433759402071946,1.0,0.7179298019531213,0.13869959115982056,0.05078154057264328,0.33188432455062866,,
push_trained,nominal,0.05,0.75,64,64,0,0,1.0,0.9433759402071946,1.0,0.7688254478193147,0.14657557010650635,0.0460403710603714,0.32013654708862305,,
push_trained,nominal,0.06,0.5,64,64,0,0,1.0,0.9433759402071946,1.0,0.67298142038983,0.13658985495567322,0.08276025950908661,0.32071179151535034,,
push_trained,nominal,0.06,0.625,64,64,0,0,1.0,0.9433759402071946,1.0,0.7182561494270061,0.14433979988098145,0.04808227717876434,0.331566721200943,,
push_trained,nominal,0.06,0.75,64,64,0,0,1.0,0.9433759402071946,1.0,0.7688236445971168,0.15246552228927612,0.04348767548799515,0.3198253810405731,,
push_trained,nominal,0.08,0.5,64,64,0,0,1.0,0.9433759402071946,1.0,0.6484010856243023,0.1486750841140747,0.08104702085256577,0.3181229531764984,,
push_trained,nominal,0.08,0.625,64,64,0,0,1.0,0.9433759402071946,1.0,0.7187945300476888,0.15578985214233398,0.04385802149772644,0.33103373646736145,,
push_trained,nominal,0.08,0.75,64,64,0,0,1.0,0.9433759402071946,1.0,0.7688198304319613,0.1644906997680664,0.0395239032804966,0.3196008801460266,,
push_trained,nominal,0.1,0.5,64,64,0,0,1.0,0.9433759402071946,1.0,0.6447709781529295,0.1607171595096588,0.07940923422574997,0.32078713178634644,,
push_trained,nominal,0.1,0.625,64,64,0,0,1.0,0.9433759402071946,1.0,0.7182558461010995,0.16753670573234558,0.04117997735738754,0.3314060568809509,,
push_trained,nominal,0.1,0.75,64,64,0,0,1.0,0.9433759402071946,1.0,0.7688036525898545,0.17653974890708923,0.03369858115911484,0.3198646306991577,,
push_trained,perturbed,0.05,0.5,64,51,13,0,0.796875,0.6828636426898583,0.8772658218081634,0.6689211497597602,0.1317235231399536,0.08919943869113922,0.30587464570999146,11.313846153846155,0.9898923635482788
push_trained,perturbed,0.05,0.625,64,59,5,0,0.921875,0.8298046264583709,0.9661688230914496,0.711597805186902,0.13883864879608154,0.061290889978408813,0.31919237971305847,10.936000000000002,0.9985600709915161
push_trained,perturbed,0.05,0.75,64,62,2,0,0.96875,0.8930270822904169,0.9913878616538281,0.765830996874066,0.14778150618076324,0.04888349026441574,0.3134447932243347,12.24,1.0
push_trained,perturbed,0.06,0.5,64,56,8,0,0.875,0.7722543817887005,0.9352775733666955,0.6671129707894972,0.13703739643096924,0.08775275200605392,0.30838000774383545,10.98,0.9880750179290771
push_trained,perturbed,0.06,0.625,64,61,3,0,0.953125,0.8710034625990631,0.983930983213707,0.7120375630177211,0.14422062039375305,0.057349033653736115,0.32056885957717896,10.68,0.9981999397277832
push_trained,perturbed,0.06,0.75,64,63,1,0,0.984375,0.9166589839990573,0.9972364580766624,0.7657305447543106,0.15349353849887848,0.045844487845897675,0.31367307901382446,11.72,1.0
push_trained,perturbed,0.08,0.5,64,53,11,0,0.828125,0.7178678837734179,0.9012225769875536,0.6628980938398124,0.14830641448497772,0.08241020888090134,0.30976682901382446,11.976363636363637,0.9985272884368896
push_trained,perturbed,0.08,0.625,64,61,3,0,0.953125,0.8710034625990631,0.983930983213707,0.7113135452494872,0.15547028183937073,0.05169060826301575,0.32145369052886963,10.826666666666668,1.0
push_trained,perturbed,0.08,0.75,64,63,1,0,0.984375,0.9166589839990573,0.9972364580766624,0.7653004943079271,0.16500219702720642,0.040311940014362335,0.3150259256362915,12.96,1.0
push_trained,perturbed,0.1,0.5,64,58,6,0,0.90625,0.810171204003544,0.9563217474148016,0.6604023856283017,0.15998414158821106,0.07586221396923065,0.31361818313598633,11.156666666666666,0.9976000189781189
push_trained,perturbed,0.1,0.625,64,63,1,0,0.984375,0.9166589839990573,0.9972364580766624,0.7105968556802281,0.1669706404209137,0.04670560359954834,0.322102427482605,11.28,1.0
push_trained,perturbed,0.1,0.75,64,63,1,0,0.984375,0.9166589839990573,0.9972364580766624,0.7644160613688034,0.17682763934135437,0.035588234663009644,0.31569692492485046,13.120000000000001,1.0
