gait,speed,period,step_width,command_df,trials,valid_energy_trials,energy_valid_rate,energy_condition_valid,positive_mechanical_cot_median,finite_cot_trials,positive_mechanical_cot_median_all,periodic_rate,compliance_rate,achieved_df_mean,out_of_training_support
walk,0.3,0.48,0.2,0.9,32,0,0.0,0,,32,0.45433436744090094,1.0,0.0,0.8854166666666666,0
walk,0.3,0.48,0.3,0.75,32,0,0.0,0,,32,0.36767386602874363,1.0,0.0,0.7604166666666666,0
walk,0.3,0.48,0.3,0.8,32,32,1.0,1,0.4280700575584794,32,0.4280700575584794,1.0,1.0,0.8333333333333334,0
walk,0.3,0.48,0.3,0.85,32,32,1.0,1,0.47129269780862926,32,0.47129269780862926,1.0,1.0,0.8541666666666667,0
walk,0.3,0.48,0.3,0.9,32,0,0.0,0,,32,0.47110056951090906,1.0,0.0,0.8854166666666666,0
walk,0.3,0.48,0.4,0.75,32,0,0.0,0,,32,0.38344223747287876,1.0,0.0,0.7604166666666666,0
walk,0.3,0.48,0.4,0.8,32,32,1.0,1,0.4487187793648143,32,0.4487187793648143,1.0,1.0,0.8333333333333334,0
walk,0.3,0.48,0.4,0.85,32,32,1.0,1,0.4847839769373179,32,0.4847839769373179,1.0,1.0,0.8541666666666667,0
walk,0.3,0.48,0.4,0.9,32,0,0.0,0,,32,0.5009630790109466,1.0,0.0,0.8854166666666666,0
walk,0.3,0.48,0.5,0.75,32,0,0.0,0,,32,0.39878083645277784,1.0,0.0,0.7604166666666666,0
walk,0.3,0.48,0.5,0.8,32,32,1.0,1,0.462945602964427,32,0.462945602964427,1.0,1.0,0.8333333333333334,0
walk,0.3,0.48,0.5,0.85,32,0,0.0,0,,32,0.49157803928653054,1.0,0.0,0.8541666666666667,0
walk,0.3,0.48,0.5,0.9,32,0,0.0,0,,32,0.504424626903614,1.0,0.0,0.8854166666666666,0
walk,0.35,0.48,0.1,0.75,32,0,0.0,0,,32,0.32165058950300784,1.0,0.0,0.7604166666666666,0
walk,0.35,0.48,0.1,0.8,32,32,1.0,1,0.37533183183493724,32,0.37533183183493724,1.0,1.0,0.8230794270833334,0
walk,0.35,0.48,0.1,0.85,32,0,0.0,0,,32,0.41692155616098425,1.0,0.0,0.8541666666666667,0
walk,0.35,0.48,0.1,0.9,32,0,0.0,0,,32,0.42932602551344323,1.0,0.0,0.8854166666666666,0
walk,0.35,0.48,0.2,0.75,32,0,0.0,0,,32,0.3303673111248247,1.0,0.0,0.7604166666666666,0
walk,0.35,0.48,0.2,0.8,32,32,1.0,1,0.4015589607477975,32,0.4015589607477975,1.0,1.0,0.8333333333333334,0
walk,0.35,0.48,0.2,0.85,32,0,0.0,0,,32,0.4395336456517341,1.0,0.0,0.8541666666666667,0
walk,0.35,0.48,0.2,0.9,32,0,0.0,0,,32,0.4472953743415678,1.0,0.0,0.8854166666666666,0
walk,0.35,0.48,0.3,0.75,32,0,0.0,0,,32,0.3518721806209361,1.0,0.0,0.7604166666666666,0
walk,0.35,0.48,0.3,0.8,32,32,1.0,1,0.42696581315596827,32,0.42696581315596827,1.0,1.0,0.8333333333333334,0
walk,0.35,0.48,0.3,0.85,32,32,1.0,1,0.4656510758956973,32,0.4656510758956973,1.0,1.0,0.8541666666666667,0
walk,0.35,0.48,0.3,0.9,32,0,0.0,0,,32,0.46187233201883054,1.0,0.0,0.8854166666666666,0
walk,0.35,0.48,0.4,0.75,32,0,0.0,0,,32,0.37476217035027193,1.0,0.0,0.7604166666666666,0
walk,0.35,0.48,0.4,0.8,32,32,1.0,1,0.4455249069141265,32,0.4455249069141265,1.0,1.0,0.8333333333333334,0
walk,0.35,0.48,0.4,0.85,32,0,0.0,0,,32,0.47793297914947597,1.0,0.0,0.8541666666666667,0
walk,0.35,0.48,0.4,0.9,32,0,0.0,0,,32,0.48801045539774535,1.0,0.0,0.8854166666666666,0
walk,0.35,0.48,0.5,0.75,32,0,0.0,0,,32,0.38684700812853345,1.0,0.0,0.7604166666666666,0
walk,0.35,0.48,0.5,0.8,32,32,1.0,1,0.45754543319843954,32,0.45754543319843954,1.0,1.0,0.814208984375,0
walk,0.35,0.48,0.5,0.85,32,0,0.0,0,,32,0.4852381839422575,1.0,0.0,0.8541666666666667,0
walk,0.35,0.48,0.5,0.9,32,0,0.0,0,,32,0.4936549891145664,1.0,0.0,0.8854166666666666,0
walk,0.4,0.48,0.1,0.75,32,0,0.0,0,,32,0.32432024103838275,1.0,0.0,0.7604166666666666,0
walk,0.4,0.48,0.1,0.8,32,32,1.0,1,0.37695573070969796,32,0.37695573070969796,1.0,1.0,0.81298828125,0
walk,0.4,0.48,0.1,0.85,32,0,0.0,0,,32,0.41816806293936776,1.0,0.0,0.8541666666666667,0
walk,0.4,0.48,0.1,0.9,32,0,0.0,0,,32,0.4296751189179068,1.0,0.0,0.8854166666666666,0
walk,0.4,0.48,0.2,0.75,32,0,0.0,0,,32,0.3257242239910176,1.0,0.0,0.7604166666666666,0
walk,0.4,0.48,0.2,0.8,32,32,1.0,1,0.4087763266001537,32,0.4087763266001537,1.0,1.0,0.8229166666666667,0
walk,0.4,0.48,0.2,0.85,32,0,0.0,0,,32,0.44630734631665103,1.0,0.0,0.8541666666666667,0
walk,0.4,0.48,0.2,0.9,32,0,0.0,0,,32,0.4454972591677445,1.0,0.0,0.8854166666666666,0
walk,0.4,0.48,0.3,0.75,32,0,0.0,0,,32,0.34977235495397807,1.0,0.0,0.7604166666666666,0
walk,0.4,0.48,0.3,0.8,32,32,1.0,1,0.4310981172658162,32,0.4310981172658162,1.0,1.0,0.8229166666666667,0
walk,0.4,0.48,0.3,0.85,32,0,0.0,0,,32,0.46581865776037007,1.0,0.0,0.8541666666666667,0
walk,0.4,0.48,0.3,0.9,32,0,0.0,0,,32,0.4585053721481671,1.0,0.0,0.8854166666666666,0
walk,0.4,0.48,0.4,0.75,32,0,0.0,0,,32,0.3725310195825353,1.0,0.0,0.7604166666666666,0
walk,0.4,0.48,0.4,0.8,32,32,1.0,1,0.44884688681692625,32,0.44884688681692625,1.0,1.0,0.8229166666666667,0
walk,0.4,0.48,0.4,0.85,32,0,0.0,0,,32,0.4764645447113829,1.0,0.0,0.8541666666666667,0
walk,0.4,0.48,0.4,0.9,32,0,0.0,0,,32,0.478333183499995,1.0,0.0,0.8854166666666666,0
walk,0.4,0.48,0.5,0.75,32,0,0.0,0,,32,0.38286759865202546,1.0,0.0,0.7604166666666666,0
walk,0.4,0.48,0.5,0.8,32,32,1.0,1,0.4550005540475454,32,0.4550005540475454,1.0,1.0,0.8125,0
walk,0.4,0.48,0.5,0.85,32,0,0.0,0,,32,0.4818072057590169,1.0,0.0,0.8541666666666667,0
walk,0.4,0.48,0.5,0.9,32,0,0.0,0,,32,0.48903095632022314,1.0,0.0,0.8854166666666666,0
