seed,step_width,speed,period,gait,command_df,compliant,any_failure,command_gate_pass,topology_fraction,topology_gate_pass,energy_valid,positive_mechanical_cot,absolute_mechanical_cot,achieved_df,df_max_abs_error,achieved_stance_width,stance_width_abs_error,stance_foot_lateral_mae,all_phase_foot_lateral_mae,forward_speed,speed_abs_error,lateral_rmse,max_lateral_deviation,heading_rmse_rad,max_abs_heading_rad,world_lateral_velocity_rmse,body_yaw_rate_rmse,stance_recall_min,swing_recall_min,nominal_failure,df_FL,stance_samples_FL,stance_y_FL,stance_recall_FL,swing_recall_FL,df_FR,stance_samples_FR,stance_y_FR,stance_recall_FR,swing_recall_FR,df_RL,stance_samples_RL,stance_y_RL,stance_recall_RL,swing_recall_RL,df_RR,stance_samples_RR,stance_y_RR,stance_recall_RR,swing_recall_RR
5000014,0.1,0.3,0.48,walk,0.75,0,0,0,1.0,1,1,0.37684252621517683,0.7934282249886734,0.7604166666666666,0.04166666666666663,0.09817064264979845,0.001829357350201552,0.0089490036508722,0.008708380812701458,0.3044418450444937,0.004441845044493686,0.02227545541251924,0.024633407592773438,0.00876980224127712,0.01176645141094923,0.011042100175774784,0.03675738621364462,1.0,0.8333333333333334,0,0.75,72,0.06379772531282571,1.0,1.0,0.75,72,-0.04946869373735455,1.0,1.0,0.75,72,0.03599468422018819,1.0,1.0,0.7916666666666666,76,-0.04708018202922846,1.0,0.8333333333333334
5000015,0.1,0.3,0.48,walk,0.75,0,0,0,1.0,1,1,0.37743917398931404,0.7946273267488796,0.7604166666666666,0.04166666666666663,0.09812876812457406,0.001871231875425941,0.009045900267001503,0.008796274564034926,0.30386613806088764,0.0038661380608876472,0.004261327397530958,0.00580596923828125,0.008108151084275898,0.011268260888755322,0.010707418319039838,0.0371820078199112,1.0,0.8333333333333334,0,0.75,72,0.06397834839299321,1.0,1.0,0.75,72,-0.049391105926285185,1.0,1.0,0.75,72,0.03587676380347046,1.0,1.0,0.7916666666666666,76,-0.04701131812639927,1.0,0.8333333333333334
5000016,0.1,0.3,0.48,walk,0.75,0,0,0,1.0,1,1,0.37651824934352907,0.7921378840495504,0.7604166666666666,0.04166666666666663,0.09801309200532038,0.0019869079946796264,0.009065347245338846,0.008814581081969664,0.3039848015954097,0.003984801595409704,0.01887633602317542,0.020328521728515625,0.007633549182773488,0.010609828867018223,0.010657118974907074,0.03743990067047911,1.0,0.8333333333333334,0,0.75,72,0.06392980951608883,1.0,1.0,0.75,72,-0.049313476050479546,1.0,1.0,0.75,72,0.03582408377486798,1.0,1.0,0.7916666666666666,76,-0.04695881466920439,1.0,0.8333333333333334
5000017,0.1,0.3,0.48,walk,0.75,0,0,0,1.0,1,1,0.3766262855401092,0.7922395732536431,0.7604166666666666,0.04166666666666663,0.0979623128122198,0.0020376871877802044,0.009045578625083123,0.00879511168168392,0.30401378342260915,0.004013783422609163,0.006541324646992421,0.008000434376299381,0.007456403874117932,0.010538253001868725,0.010651962174850003,0.03731747815237771,1.0,0.8333333333333334,0,0.75,72,0.06386483812497722,1.0,1.0,0.75,72,-0.04930284577939245,1.0,1.0,0.75,72,0.035830263022540346,1.0,1.0,0.7916666666666666,76,-0.04692667869752959,1.0,0.8333333333333334
5000018,0.1,0.3,0.48,walk,0.75,0,0,0,1.0,1,1,0.37642153653315763,0.7929787735438002,0.7604166666666666,0.04166666666666663,0.09837109320633636,0.001628906793663648,0.008937341354008524,0.008702448311184222,0.3044611119354765,0.004461111935476492,0.024177687384876332,0.026534080505371094,0.00919445569543171,0.012003553099930286,0.011068796890329401,0.03658383413557973,1.0,0.8333333333333334,0,0.75,72,0.06383780622854829,1.0,1.0,0.75,72,-0.049646107790370785,1.0,1.0,0.75,72,0.0360652431845665,1.0,1.0,0.7916666666666666,76,-0.04719302920918716,1.0,0.8333333333333334
5000019,0.1,0.3,0.48,walk,0.75,0,0,0,1.0,1,1,0.3757920912829007,0.7915313695098343,0.7604166666666666,0.04166666666666663,0.09840412990582226,0.0015958700941777482,0.008922687981805998,0.008689035616892701,0.3044422532742222,0.004442253274222208,0.03558621383844141,0.03788948059082031,0.009926352543125187,0.013008383102715015,0.011134946301278755,0.03672144395073085,1.0,0.8333333333333334,0,0.75,72,0.0638528736308217,1.0,1.0,0.75,72,-0.049629033336208925,1.0,1.0,0.75,72,0.0361051705872847,1.0,1.0,0.7916666666666666,76,-0.047221182257329165,1.0,0.8333333333333334
5000020,0.1,0.3,0.48,walk,0.75,0,0,0,1.0,1,1,0.37634346742523006,0.7916158328078235,0.7604166666666666,0.04166666666666663,0.09802819406736249,0.001971805932637516,0.009073346324894054,0.008822362257827383,0.3040479288126032,0.004047928812603185,0.022079012964099795,0.023508071899414062,0.0075873926646306345,0.010505344718694687,0.010661809858709749,0.03742877541850206,1.0,0.8333333333333334,0,0.75,72,0.06394632284839948,1.0,1.0,0.75,72,-0.04932924618737565,1.0,1.0,0.75,72,0.03583146411822074,1.0,1.0,0.7916666666666666,76,-0.04694935498072913,1.0,0.8333333333333334
5000021,0.1,0.3,0.48,walk,0.75,0,0,0,1.0,1,1,0.37685539082511565,0.7929841502224495,0.7604166666666666,0.04166666666666663,0.09799039907745298,0.002009600922547025,0.009045968794778578,0.00879585256819458,0.3038871843988697,0.003887184398869703,0.007389337603556079,0.008992195129394531,0.007359417862415714,0.010589932091534138,0.010640963021644573,0.03727071190401977,1.0,0.8333333333333334,0,0.75,72,0.06388693892707427,1.0,1.0,0.75,72,-0.04932697743384375,1.0,1.0,0.75,72,0.03584132842823035,1.0,1.0,0.7916666666666666,76,-0.04692555336575759,1.0,0.8333333333333334
5000022,0.1,0.3,0.48,walk,0.75,0,0,0,1.0,1,1,0.3767457819892388,0.7919509521057368,0.7604166666666666,0.04166666666666663,0.09796436260146639,0.0020356373985336157,0.009057375576485994,0.008804441001848318,0.3039548856516679,0.003954885651667905,0.008949313617493883,0.010414442047476768,0.00702636578137178,0.01038379967212677,0.010629865519195486,0.03730452684633504,1.0,0.8333333333333334,0,0.75,72,0.06387728752775325,1.0,1.0,0.75,72,-0.04931353425814046,1.0,1.0,0.75,72,0.03582416637800634,1.0,1.0,0.7916666666666666,76,-0.04691373703903273,1.0,0.8333333333333334
5000023,0.1,0.3,0.48,walk,0.75,0,0,0,1.0,1,1,0.37678374982651563,0.7934505063530807,0.7604166666666666,0.04166666666666663,0.09829413178322391,0.0017058682167760963,0.008944247799860151,0.008707436474893863,0.3044213658819596,0.004421365881959627,0.020045594122385883,0.022218704223632812,0.009157199600072179,0.012091267853975296,0.011088190257437763,0.03670817996614226,1.0,0.8333333333333334,0,0.75,72,0.06382172766865955,1.0,1.0,0.75,72,-0.04956375522952941,1.0,1.0,0.75,72,0.03602746599871251,1.0,1.0,0.7916666666666666,76,-0.04717531466954633,1.0,0.8333333333333334
