seed,step_width,speed,period,gait,command_df,compliant,any_failure,command_gate_pass,topology_fraction,topology_gate_pass,energy_valid,positive_mechanical_cot,absolute_mechanical_cot,achieved_df,df_max_abs_error,achieved_stance_width,stance_width_abs_error,stance_foot_lateral_mae,all_phase_foot_lateral_mae,forward_speed,speed_abs_error,lateral_rmse,max_lateral_deviation,heading_rmse_rad,max_abs_heading_rad,world_lateral_velocity_rmse,body_yaw_rate_rmse,stance_recall_min,swing_recall_min,nominal_failure,df_FL,stance_samples_FL,stance_y_FL,stance_recall_FL,swing_recall_FL,df_FR,stance_samples_FR,stance_y_FR,stance_recall_FR,swing_recall_FR,df_RL,stance_samples_RL,stance_y_RL,stance_recall_RL,swing_recall_RL,df_RR,stance_samples_RR,stance_y_RR,stance_recall_RR,swing_recall_RR
3000020,0.1,0.25,0.48,trot,0.5,0,0,0,0.0,0,1,0.21547221449331708,0.46600775154755425,0.5625,0.09375,0.10469776669051213,0.004697766690512126,0.003494767214855654,0.00685149425989948,0.24156863677004972,0.008431363229950278,0.016772196353312275,0.026239395141601562,0.07812720039817393,0.0856921598315239,0.01263974950969631,0.07276553912922784,1.0,0.8125,0,0.5416666666666666,52,0.05437358089077931,1.0,0.9166666666666666,0.5416666666666666,52,-0.05352510576351331,1.0,0.9166666666666666,0.5729166666666666,55,0.048715939779173247,1.0,0.8541666666666666,0.59375,57,-0.05278090694755839,1.0,0.8125
3000021,0.1,0.25,0.48,trot,0.5,0,0,0,0.0,0,1,0.21742489583477856,0.47545227464890216,0.5598958333333333,0.09375,0.10495340584985308,0.004953405849853071,0.0035341649721902543,0.006871863609800734,0.24081596421698728,0.009184035783012717,0.020825240071154286,0.02928638458251953,0.07610377771242029,0.08518782258033752,0.012970682518657925,0.07184159099350267,1.0,0.8125,0,0.5416666666666666,52,0.05479222428626739,1.0,0.9166666666666666,0.53125,51,-0.05358170133595373,1.0,0.9375,0.5729166666666666,55,0.04884706376628442,1.0,0.8541666666666666,0.59375,57,-0.05268582231120059,1.0,0.8125
3000022,0.1,0.25,0.48,trot,0.5,0,0,0,0.0,0,1,0.21100801859348123,0.4579459195031649,0.5625,0.08333333333333337,0.10427311688641107,0.004273116886411063,0.0033690582331433717,0.006776489074885222,0.24259942133600512,0.007400578663994878,0.05357083057958389,0.06134067475795746,0.08010226709791617,0.0874345526099205,0.012397389672402571,0.07345365777709757,1.0,0.8333333333333334,0,0.5416666666666666,52,0.05400122838238111,1.0,0.9166666666666666,0.5416666666666666,52,-0.053445452537674173,1.0,0.9166666666666666,0.5833333333333334,56,0.04859060754201242,1.0,0.8333333333333334,0.5833333333333334,56,-0.05250894531075444,1.0,0.8333333333333334
3000023,0.1,0.25,0.48,trot,0.5,0,0,0,0.0,0,1,0.21175613500689228,0.4574491805329096,0.5625,0.08333333333333337,0.10463487817957015,0.0046348781795701455,0.003323110291263558,0.006748322997009379,0.2422529528848827,0.0077470471151173115,0.024855488796776737,0.032012939453125,0.07933243786280186,0.08627261966466904,0.011574548547102286,0.07387785470004818,1.0,0.8333333333333334,0,0.5416666666666666,52,0.05385459672946196,1.0,0.9166666666666666,0.5416666666666666,52,-0.053806986373204455,1.0,0.9166666666666666,0.5833333333333334,56,0.04907208062442286,1.0,0.8333333333333334,0.5833333333333334,56,-0.05253609263205102,1.0,0.8333333333333334
3000024,0.1,0.25,0.48,trot,0.5,0,0,0,0.0,0,1,0.21681323117429613,0.4696055798865684,0.5625,0.08333333333333337,0.10486936979098144,0.0048693697909814315,0.0035368126678884345,0.006851615089302259,0.2411540561976532,0.008845943802346795,0.019953430837189805,0.027887344360351562,0.07770773155288167,0.0854891762137413,0.01312193250038814,0.07393545886079123,1.0,0.8333333333333334,0,0.5416666666666666,52,0.05455488854875931,1.0,0.9166666666666666,0.5416666666666666,52,-0.053558741409618124,1.0,0.9166666666666666,0.5833333333333334,56,0.04879013588652015,1.0,0.8333333333333334,0.5833333333333334,56,-0.052834973737065284,1.0,0.8333333333333334
3000025,0.1,0.25,0.48,trot,0.5,0,0,0,0.0,0,1,0.21509891659855784,0.4644940295159862,0.5625,0.08333333333333337,0.10478649365429121,0.004786493654291207,0.003451940310085293,0.0068046188874480605,0.24166469074164829,0.008335309258351714,0.030037299488248757,0.03802680969238281,0.07948935931228156,0.08629090338945389,0.01231636812054324,0.07363007886190823,1.0,0.8333333333333334,0,0.5416666666666666,52,0.05426150316802355,1.0,0.9166666666666666,0.5416666666666666,52,-0.05366844476129,1.0,0.9166666666666666,0.5833333333333334,56,0.04891464413542833,1.0,0.8333333333333334,0.5833333333333334,56,-0.052728395243840556,1.0,0.8333333333333334
3000026,0.1,0.25,0.48,trot,0.5,0,0,0,0.0,0,1,0.2146448701138558,0.4630794027392262,0.5625,0.08333333333333337,0.10477067431394052,0.004770674313940515,0.0034446062126125268,0.006804609913767003,0.2417498097444574,0.008250190255542605,0.04106808877485054,0.04898357391357422,0.07936023461801256,0.08623259514570236,0.01227399665683024,0.07367279505314332,1.0,0.8333333333333334,0,0.5416666666666666,52,0.05422008890085495,1.0,0.9166666666666666,0.5416666666666666,52,-0.05368382963710106,1.0,0.9166666666666666,0.5833333333333334,56,0.04892773374116847,1.0,0.8333333333333334,0.5833333333333334,56,-0.05270969634875655,1.0,0.8333333333333334
3000027,0.1,0.25,0.48,trot,0.5,0,0,0,0.0,0,1,0.2148901504597377,0.45448088952638627,0.5625,0.08333333333333337,0.10443389479193714,0.004433894791937135,0.0034263713505364693,0.006802786446254077,0.2424674037223061,0.007532596277693898,0.042460134207961533,0.05057992413640022,0.0796264622979578,0.08663313835859299,0.012499590513309565,0.07346658889313001,1.0,0.8333333333333334,0,0.5416666666666666,52,0.05415024221516573,1.0,0.9166666666666666,0.5416666666666666,52,-0.05343774541352804,1.0,0.9166666666666666,0.5833333333333334,56,0.048610259512705464,1.0,0.8333333333333334,0.5833333333333334,56,-0.05266954244247505,1.0,0.8333333333333334
3000028,0.1,0.25,0.48,trot,0.5,0,0,0,0.0,0,1,0.2117000060162742,0.46029829614468537,0.5625,0.08333333333333337,0.10430712240062409,0.004307122400624086,0.003371234226889989,0.006768467729367934,0.2423613352390627,0.007638664760937303,0.025227054223979997,0.03277397155761719,0.08060597233133307,0.08798135817050934,0.0124910583065876,0.07348904088126781,1.0,0.8333333333333334,0,0.5416666666666666,52,0.05402401741594076,1.0,0.9166666666666666,0.5416666666666666,52,-0.0534541831853298,1.0,0.9166666666666666,0.5833333333333334,56,0.0486068034411541,1.0,0.8333333333333334,0.5833333333333334,56,-0.052529240758823495,1.0,0.8333333333333334
3000029,0.1,0.25,0.48,trot,0.5,0,0,0,0.0,0,1,0.2118783523838106,0.4571483295543153,0.5625,0.08333333333333337,0.10466914593016954,0.004669145930169538,0.003344973414921415,0.006756161483159907,0.24205415711427727,0.007945842885722726,0.024604492214100944,0.03179168701171875,0.0793876180329185,0.08632021397352219,0.011558890375793652,0.07398073117964582,1.0,0.8333333333333334,0,0.5416666666666666,52,0.0539163643350968,1.0,0.9166666666666666,0.5416666666666666,52,-0.05374020087317778,1.0,0.9166666666666666,0.5833333333333334,56,0.049060702456959655,1.0,0.8333333333333334,0.5833333333333334,56,-0.05262102419510484,1.0,0.8333333333333334
3000030,0.1,0.25,0.48,trot,0.5,0,0,0,0.0,0,1,0.21271716697989063,0.4583983125704554,0.5625,0.08333333333333337,0.10437881166453135,0.004378811664531343,0.0034210235732454013,0.006803317150721945,0.24240181424344578,0.0075981857565542155,0.04073361635601968,0.048877716064453125,0.07971547071321443,0.08686808496713638,0.012645379555510572,0.07341866644368933,1.0,0.8333333333333334,0,0.5416666666666666,52,0.0541405131897101,1.0,0.9166666666666666,0.5416666666666666,52,-0.05342013209771652,1.0,0.9166666666666666,0.5833333333333334,56,0.04856511278610144,1.0,0.8333333333333334,0.5833333333333334,56,-0.05263186525553465,1.0,0.8333333333333334
3000031,0.1,0.25,0.48,trot,0.5,0,0,0,0.0,0,1,0.21490304962415108,0.4631429988882672,0.5625,0.08333333333333337,0.1047351649517173,0.004735164951717288,0.0034302750195550546,0.006792721251258624,0.24188301339745522,0.008116986602544785,0.0376864455059541,0.045398712158203125,0.07901932344033612,0.08584678918123245,0.012141728432932127,0.07387292756966107,1.0,0.8333333333333334,0,0.5416666666666666,52,0.05421213354342259,1.0,0.9166666666666666,0.5416666666666666,52,-0.05368089518294884,1.0,0.9166666666666666,0.5833333333333334,56,0.04890359006822109,1.0,0.8333333333333334,0.5833333333333334,56,-0.052673711108842065,1.0,0.8333333333333334
