speed,command_df,step_width,period,gait,perturbation_h,references,valid_references,reference_valid_rate,periodic_orbit_gate_pass_rate,command_gate_pass_rate,hybrid_topology_gate_pass_rate,translation_symmetry_gate_pass_rate,numerical_gate_pass_rate,rank_gate_pass_rate,finite_difference_gate_pass_rate,chi_augmented_diagnostic_median,chi_augmented_median,chi_augmented_q025,chi_augmented_q975,chi_physical_conditional_diagnostic_median,chi_physical_conditional_median,chi_physical_conditional_q025,chi_physical_conditional_q975,chi_orbital_physical_diagnostic_median,chi_orbital_physical_median,chi_orbital_physical_q025,chi_orbital_physical_q975,chi_orbital_augmented_diagnostic_median,chi_orbital_augmented_median,chi_orbital_augmented_q025,chi_orbital_augmented_q975
0.3,0.5,0.1,0.48,trot,0.025,8,0,0.0,0.75,1.0,0.0,0.0,0.0,1.0,0.0,39.731180827430535,nan,nan,nan,36.71817726879815,nan,nan,nan,36.54500391988101,nan,nan,nan,39.567016973691736,nan,nan,nan
0.3,0.5,0.1,0.48,trot,0.05,8,0,0.0,0.75,1.0,0.0,0.0,0.0,1.0,0.0,28.376247039610465,nan,nan,nan,24.415720918795888,nan,nan,nan,24.19407518981634,nan,nan,nan,28.063987164774723,nan,nan,nan
0.3,0.5,0.1,0.48,trot,0.1,8,0,0.0,0.75,1.0,0.0,0.0,0.0,1.0,0.0,19.897447777678885,nan,nan,nan,16.51466336971391,nan,nan,nan,16.24105290689902,nan,nan,nan,19.666135793151152,nan,nan,nan
0.3,0.625,0.1,0.48,trot,0.025,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,17.479574881366563,nan,nan,nan,17.03432824045668,nan,nan,nan,16.998190269820608,nan,nan,nan,17.443571971267584,nan,nan,nan
0.3,0.625,0.1,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,18.229235317906312,nan,nan,nan,17.360326446014867,nan,nan,nan,17.310938150782107,nan,nan,nan,18.181387886268524,nan,nan,nan
0.3,0.625,0.1,0.48,trot,0.1,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,13.383829307051368,nan,nan,nan,12.038377076735081,nan,nan,nan,11.966265173107782,nan,nan,nan,13.317392916749135,nan,nan,nan
0.3,0.75,0.1,0.48,trot,0.025,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.2894649016222655,nan,nan,nan,3.633476025711916,nan,nan,nan,3.6044146056660766,nan,nan,nan,4.2607915836281105,nan,nan,nan
0.3,0.75,0.1,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.438282008588901,nan,nan,nan,3.791874684232271,nan,nan,nan,3.7645069401958002,nan,nan,nan,4.414225571080493,nan,nan,nan
0.3,0.75,0.1,0.48,trot,0.1,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.491479148158913,nan,nan,nan,3.8717515710238333,nan,nan,nan,3.8419635596866675,nan,nan,nan,4.46590756837506,nan,nan,nan
0.3,0.5,0.2,0.48,trot,0.025,8,0,0.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,21.392655602402908,nan,nan,nan,14.616090957075318,nan,nan,nan,14.341821305364318,nan,nan,nan,20.957133135774995,nan,nan,nan
0.3,0.5,0.2,0.48,trot,0.05,8,0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,16.28309897933561,nan,nan,nan,15.056487117110168,nan,nan,nan,14.8779112400425,nan,nan,nan,16.118457932495215,nan,nan,nan
0.3,0.5,0.2,0.48,trot,0.1,8,0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,11.348846902463055,nan,nan,nan,10.160200320932585,nan,nan,nan,9.932668687644771,nan,nan,nan,11.13872231177659,nan,nan,nan
0.3,0.625,0.2,0.48,trot,0.025,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.298272047302958,nan,nan,nan,1.9504806864127524,nan,nan,nan,1.9158958801223327,nan,nan,nan,2.2551746374066184,nan,nan,nan
0.3,0.625,0.2,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.532386417980158,nan,nan,nan,3.0321999698540707,nan,nan,nan,3.016409858988694,nan,nan,nan,3.5193351419267627,nan,nan,nan
0.3,0.625,0.2,0.48,trot,0.1,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0488654286681225,nan,nan,nan,2.6712819273801887,nan,nan,nan,2.639079663805664,nan,nan,nan,3.022310325157303,nan,nan,nan
0.3,0.75,0.2,0.48,trot,0.025,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.005698221205928,nan,nan,nan,1.8514330123813136,nan,nan,nan,1.8344225245941597,nan,nan,nan,1.988412806032529,nan,nan,nan
0.3,0.75,0.2,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.8716728658490458,nan,nan,nan,1.7656174409660794,nan,nan,nan,1.7542434484281637,nan,nan,nan,1.8607704706842745,nan,nan,nan
0.3,0.75,0.2,0.48,trot,0.1,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.6853651448643587,nan,nan,nan,1.598306155911276,nan,nan,nan,1.5804676861265485,nan,nan,nan,1.6696856256688273,nan,nan,nan
0.3,0.5,0.3,0.48,trot,0.025,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,16.987072323102367,nan,nan,nan,8.650518609803603,nan,nan,nan,8.397639224711725,nan,nan,nan,16.59759563524388,nan,nan,nan
0.3,0.5,0.3,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6.465262214685686,nan,nan,nan,4.747442384675082,nan,nan,nan,4.582013504637795,nan,nan,nan,6.303737211813239,nan,nan,nan
0.3,0.5,0.3,0.48,trot,0.1,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.09187019037952,nan,nan,nan,5.1437682135658545,nan,nan,nan,4.90846246167502,nan,nan,nan,5.876451969682629,nan,nan,nan
0.3,0.625,0.3,0.48,trot,0.025,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.420832901541686,nan,nan,nan,2.214956902467046,nan,nan,nan,2.178350737065779,nan,nan,nan,2.399102946867445,nan,nan,nan
0.3,0.625,0.3,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.4174953988403765,nan,nan,nan,2.188715985092583,nan,nan,nan,2.1691042020797964,nan,nan,nan,2.402439157645647,nan,nan,nan
0.3,0.625,0.3,0.48,trot,0.1,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.975014014616339,nan,nan,nan,1.8278715583868417,nan,nan,nan,1.790664434955876,nan,nan,nan,1.9437481817586326,nan,nan,nan
0.3,0.75,0.3,0.48,trot,0.025,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.8551889052339003,nan,nan,nan,1.6168111059514745,nan,nan,nan,1.5918715805704853,nan,nan,nan,1.8113718354187265,nan,nan,nan
0.3,0.75,0.3,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.5102884263039782,nan,nan,nan,1.3704402253850905,nan,nan,nan,1.3206644418360747,nan,nan,nan,1.4704726374301007,nan,nan,nan
0.3,0.75,0.3,0.48,trot,0.1,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.2568406987332055,nan,nan,nan,1.1859081812510968,nan,nan,nan,1.0984909058709518,nan,nan,nan,1.2089289551821305,nan,nan,nan
