file,reference,speed,command_df,step_width,period,gait,perturbation_h,cycle_rms,periodic_orbit_gate_pass,terminated,hybrid_topology_gate_pass,achieved_df,df_max_abs_error,achieved_stance_width,stance_width_abs_error,stance_foot_lateral_mae,all_phase_foot_lateral_mae,forward_speed,speed_abs_error,lateral_rmse,max_lateral_deviation,heading_rmse_rad,max_abs_heading_rad,world_lateral_velocity_rmse,body_yaw_rate_rmse,stance_recall_min,swing_recall_min,nominal_failure,command_gate_pass,df_FL,stance_samples_FL,stance_y_FL,stance_recall_FL,swing_recall_FL,df_FR,stance_samples_FR,stance_y_FR,stance_recall_FR,swing_recall_FR,df_RL,stance_samples_RL,stance_y_RL,stance_recall_RL,swing_recall_RL,df_RR,stance_samples_RR,stance_y_RR,stance_recall_RR,swing_recall_RR,initial_rank,initial_condition_number,initial_stencil_max_error,initial_stencil_relative_error,zero_clone_input_max_error,zero_clone_output_max_error,zero_clone_noise_fraction_of_h,settle_group_rms,settle_terminated,numerical_gate_pass,chi_augmented,chi_physical_conditional,chi_orbital_physical,chi_orbital_augmented,rank_physical,rank_orbital_physical,rank_orbital_augmented,fit_relative_residual,translation_x_identity_residual,translation_y_identity_residual,translation_identity_residual_max,translation_cross_coupling_max,translation_symmetry_gate_pass,finite_difference_primary_matrix_error,finite_difference_primary_chi_error,finite_difference_full_matrix_error,finite_difference_full_chi_error,finite_difference_gate_pass,reference_valid,rank_gate_pass
stability_s0.200_d0.750_v0.300_walk_p0.48_h0.100.npz,1,0.3,0.75,0.2,0.48,walk,0.1,0.0023945267874840616,1,0,0,0.75,0.0,0.18569457634455627,0.014305423655443739,0.007563439032269853,0.007431106719498838,0.3077366737027963,0.007736673702796293,0.0008235859837470741,0.0017547607421875,0.013851031174624913,0.016348563134670258,0.013941507212356156,0.02045993560981901,1.0,1.0,0,1,0.75,18,0.09265641123056412,1.0,1.0,0.75,18,-0.09768348063031833,1.0,1.0,0.75,18,0.09271101363831097,1.0,1.0,0.75,18,-0.08833824718991916,1.0,1.0,48,1.424536873467819,0.01608867049217224,0.06513157874755143,0.010130751132965087,0.012630021572113037,0.12630021572113037,0.005659045548143752,0,0,1.4973909507267305,1.3887433009588404,1.3308192925038071,1.4528562558669151,36,34,46,1.7348149469467777e-15,0.028621100849227803,0.0676275906654285,0.0676275906654285,0.06755329395401563,0,1.0685981218379375,0.0718754788276432,0.9440227871633329,0.07369094706042346,0,0,1
stability_s0.200_d0.750_v0.300_walk_p0.48_h0.100.npz,2,0.3,0.75,0.2,0.48,walk,0.1,0.002051661306110185,1,0,0,0.75,0.0,0.1857097057832612,0.014290294216738803,0.00756547521385882,0.007431264423454806,0.3077927182118098,0.007792718211809824,0.0009251774721691818,0.0019683837890625,0.014192098051067489,0.016660401597619057,0.013927524308012109,0.020225552956065613,1.0,1.0,0,1,0.75,18,0.09272169487343894,1.0,1.0,0.75,18,-0.09769969474938181,1.0,1.0,0.75,18,0.09267778777413899,1.0,1.0,0.75,18,-0.08832023416956265,1.0,1.0,48,2.0292861094092176,0.015947622060775758,0.14005282282079237,0.003011077849939367,0.0045838415622711185,0.04583841562271118,0.008836870297107956,0,0,1.476619575900504,1.3719581429381562,1.3063167735726287,1.423564923097201,36,34,46,3.060328576127294e-15,0.10722177563789624,0.02597732935646643,0.10722177563789624,0.10609899266479617,0,1.2240047545097321,0.3167282128643667,1.0910235831975514,0.3313465738326294,0,0,1
stability_s0.200_d0.750_v0.300_walk_p0.48_h0.100.npz,3,0.3,0.75,0.2,0.48,walk,0.1,0.0004399736677974473,1,0,0,0.75,0.0,0.1854062628828817,0.01459373711711831,0.007723348567055336,0.007557039692377056,0.30665738756457966,0.006657387564579675,0.0009308590886442017,0.001953125,0.014374657485377865,0.016853202134370804,0.013963921141141505,0.020289411621719954,1.0,1.0,0,1,0.75,18,0.09254249185323715,1.0,1.0,0.75,18,-0.09770525867740314,1.0,1.0,0.75,18,0.09284006638659371,1.0,1.0,0.75,18,-0.0877247088485294,1.0,1.0,48,1.1971296496443569,0.006540286540985108,0.03199170873322159,0.03086254596710205,0.03101344108581543,0.3101344108581543,0.007149997256766967,0,0,1.5248392195432696,1.3987524024126032,1.3421202591940717,1.4820599935282515,36,34,46,2.2290345918630936e-15,0.042379769830516674,0.012460416935847485,0.042379769830516674,0.04236745811410201,0,1.2514334206271143,0.4183162005633267,1.143613178150361,0.5498764632031178,0,0,1
stability_s0.200_d0.750_v0.300_walk_p0.48_h0.100.npz,4,0.3,0.75,0.2,0.48,walk,0.1,0.00037823284207865176,1,0,0,0.75,0.0,0.18559807000888717,0.014401929991112838,0.007635195884439685,0.007487669819965963,0.3068666234612465,0.006866623461246502,0.0008852673298287395,0.001861572265625,0.014776571062416255,0.017356406897306442,0.01393601065328838,0.02059144243487181,1.0,1.0,0,1,0.75,18,0.09277242753240797,1.0,1.0,0.75,18,-0.09773995023634699,1.0,1.0,0.75,18,0.09274809848931101,1.0,1.0,0.75,18,-0.0879356637597084,1.0,1.0,48,1.6514158434942843,0.01578947901725769,0.09519004179939533,0.0012796026706664765,0.001418088329483915,0.01418088329483915,0.007763560568594554,0,0,1.5145912393223202,1.3954012935666122,1.3263498001552985,1.4594176110719586,36,34,46,2.8667457136153648e-15,0.026421571271421074,0.11412717816952309,0.11412717816952309,0.1141146478754955,0,0.7980022457390664,0.12690173838352198,0.6779620448383521,0.11270912592795042,0,0,1
stability_s0.200_d0.750_v0.300_walk_p0.48_h0.100.npz,5,0.3,0.75,0.2,0.48,walk,0.1,0.008036969177272816,1,0,0,0.75,0.0,0.185439459565613,0.01456054043438701,0.00772034401694934,0.007547586224973206,0.3066844493150711,0.006684449315071117,0.0009039571596358388,0.0019073486328125,0.014087764919386757,0.01654774881899357,0.01393457900027596,0.02021836971945771,1.0,1.0,0,1,0.75,18,0.09232509012023608,1.0,1.0,0.75,18,-0.09776683317290412,1.0,1.0,0.75,18,0.0930781972905,1.0,1.0,0.75,18,-0.0877087985475858,1.0,1.0,48,1.79944301466459,0.015845829248428346,0.1099740697640029,0.03145906925201416,0.015478156507015228,0.15478156507015228,0.009843938067518137,0,0,1.5014750139317867,1.4013856642356644,1.3312015110896032,1.446307229203336,36,34,46,2.183614246276964e-15,0.051670966083606135,0.026626245878875476,0.051670966083606135,0.042591757155061485,0,1.5483717615353125,0.540729801647717,1.4212779086361331,0.5310323522023157,0,0,1
stability_s0.200_d0.750_v0.300_walk_p0.48_h0.100.npz,6,0.3,0.75,0.2,0.48,walk,0.1,0.00319348550778071,1,0,0,0.75,0.0,0.18563412502408028,0.014365874975919735,0.007593948228491682,0.007449949548269316,0.30791832134127617,0.00791832134127618,0.0008755900596338956,0.0018157958984375,0.014149176755361342,0.016607534140348434,0.013943089011730893,0.020204022764845914,1.0,1.0,0,1,0.75,18,0.09266382621394263,1.0,1.0,0.75,18,-0.09765686177545124,1.0,1.0,0.75,18,0.0926419703496827,1.0,1.0,0.75,18,-0.08830559170908397,1.0,1.0,48,1.3441720727238942,0.00837099552154541,0.06920337905722726,0.011042370647192,0.0036713480949401855,0.036713480949401855,0.004055927104850244,0,0,1.4959264078300938,1.3809664016460952,1.3182201710010808,1.448090532718492,36,34,46,2.131373902496882e-15,0.12112670143568434,0.07315285904806668,0.12112670143568434,0.1211266028202717,0,0.9678017724550491,0.11166617341297051,0.838555045267752,0.12055769368681311,0,0,1
stability_s0.200_d0.750_v0.300_walk_p0.48_h0.100.npz,7,0.3,0.75,0.2,0.48,walk,0.1,0.002111137638704313,1,0,0,0.75,0.0,0.18567349409891498,0.01432650590108503,0.007573271936012644,0.00743313001779219,0.30779047061999637,0.007790470619996381,0.0008762479294693285,0.00183868408203125,0.013910936405494713,0.016367200762033463,0.013949964485118866,0.02011423991393199,1.0,1.0,0,1,0.75,18,0.09267579805519846,1.0,1.0,0.75,18,-0.09767747587627834,1.0,1.0,0.75,18,0.09267578522364299,1.0,1.0,0.75,18,-0.0883179290427102,1.0,1.0,48,1.8792726496403376,0.01824219822883606,0.13285265169439373,0.011556470394134521,0.0036304593086242676,0.036304593086242676,0.009019520592558587,0,0,1.5771549668896145,1.4341407874712258,1.383716043898515,1.542190186480038,36,34,46,1.948850714360205e-15,0.17681363765396008,0.1457910876982525,0.17681363765396008,0.17681319433364806,0,1.0738724597112204,0.1272648636230513,0.9542384508239146,0.1521915351001333,0,0,1
stability_s0.300_d0.750_v0.300_walk_p0.48_h0.025.npz,0,0.3,0.75,0.3,0.48,walk,0.025,0.008088418293561678,1,0,1,0.75,0.0,0.29025916548238856,0.00974083451761143,0.006527286147077876,0.006508437078446147,0.30720815310875577,0.007208153108755777,0.0006767692968615207,0.00140380859375,0.0015958024143431105,0.002610988449305296,0.012570457025268201,0.013474637638793622,1.0,1.0,0,1,0.75,18,0.14467370096180174,1.0,1.0,0.75,18,-0.1512312243382136,1.0,1.0,0.75,18,0.14755088008112377,1.0,1.0,0.75,18,-0.13706252558363807,1.0,1.0,48,26.57594455029626,0.0241921067237854,0.8230212160903747,0.035934162139892575,0.03277994394302368,1.311197757720947,0.011884347053773548,0,0,5.242519161523368,5.5539513901600595,5.4494404421097284,5.12974060925873,36,34,46,2.5396626019307626e-15,0.7511777867462163,0.9223964222190136,0.9223964222190136,0.9208048007570763,0,1.9423220707109736,1.4965647806680573,1.8058668536364708,1.4949169286132682,0,0,1
stability_s0.300_d0.750_v0.300_walk_p0.48_h0.025.npz,1,0.3,0.75,0.3,0.48,walk,0.025,0.006510514464593366,1,0,1,0.75,0.0,0.28994178647796315,0.01005821352203684,0.006589878888593777,0.006578946765512225,0.3068635252614816,0.006863525261481596,0.0008314465014892994,0.001739501953125,0.0018722270341340291,0.002901959465816617,0.012392237508237192,0.013837468421109342,1.0,1.0,0,1,0.75,18,0.14484401792287827,1.0,1.0,0.75,18,-0.15100424074464375,1.0,1.0,0.75,18,0.1474801947673162,1.0,1.0,0.75,18,-0.13655511952108806,1.0,1.0,48,12.880109982811186,0.025021326541900635,0.6367485975370042,0.0075755774974823,0.008229351043701172,0.3291740417480469,0.011749473572945795,0,0,4.931722411960109,4.213799340296566,4.098987472065217,4.850046760439587,36,34,46,1.9199986027339275e-15,0.8435404510348836,0.21358010666269553,0.8435404510348836,0.843352485562874,0,1.684201997341906,1.3710063807883828,1.5369269963602012,1.2885586984281892,0,0,1
stability_s0.300_d0.750_v0.300_walk_p0.48_h0.025.npz,2,0.3,0.75,0.3,0.48,walk,0.025,0.0011746282356235,1,0,1,0.75,0.0,0.28988447081711555,0.010115529182884442,0.006614510508047207,0.006601846590638158,0.3068101095656554,0.00681010956565542,0.0007303194494376558,0.0015869140625,0.0020333104440438585,0.0033069737255573273,0.012428700461380155,0.013881909557100204,1.0,1.0,0,1,0.75,18,0.1448148580061065,1.0,1.0,0.75,18,-0.1509792846110132,1.0,1.0,0.75,18,0.1475014934937159,1.0,1.0,0.75,18,-0.13647330552339554,1.0,1.0,48,3.220306575446695,0.009192066464894922,0.24129799505528815,0.0030626654624938965,0.0065326690673828125,0.2613067626953125,0.014550055302130518,0,0,2.744850482650827,2.6648159346527627,2.6402961024058955,2.7211395549916886,36,34,46,2.8273084391623434e-15,0.1733723003340702,0.09485843888797246,0.1733723003340702,0.17131380042727606,0,1.2028098360481263,0.6136102862526419,1.0632596984764853,0.6231735986705025,0,0,1
stability_s0.300_d0.750_v0.300_walk_p0.48_h0.025.npz,3,0.3,0.75,0.3,0.48,walk,0.025,0.0033713927105776544,1,0,1,0.75,0.0,0.29011399216122097,0.00988600783877902,0.006550296396017072,0.0065281894989311666,0.30664676055312157,0.006646760553121578,0.000904584764322673,0.00189208984375,0.0018934743441882727,0.0030519699212163687,0.012366813880637675,0.013769717367364766,1.0,1.0,0,1,0.75,18,0.14473365081681144,1.0,1.0,0.75,18,-0.15099395894342,1.0,1.0,0.75,18,0.147663205034203,1.0,1.0,0.75,18,-0.1368371695280075,1.0,1.0,48,5.094539271766734,0.009506630897521972,0.3187938916155463,0.01429969146847725,0.0025728838521735177,0.1029153540869407,0.01538226533128156,0,0,2.216296822841107,1.9391311912302707,1.9361646590447437,2.214590978798121,36,34,46,2.402173915069381e-15,0.0973193303432537,0.09208344002360747,0.0973193303432537,0.09726585299996517,0,0.9902499650554101,0.2592435347731676,0.8650085374964079,0.2594578541716572,0,0,1
stability_s0.300_d0.750_v0.300_walk_p0.48_h0.025.npz,4,0.3,0.75,0.3,0.48,walk,0.025,0.003674061149749126,1,0,1,0.75,0.0,0.2899159884287251,0.010084011571274865,0.0066730221526490295,0.006641076505184171,0.3066931876043479,0.006693187604347894,0.0007969522520561063,0.001708984375,0.0017737984525365107,0.0027458597905933857,0.012446384071478873,0.013707472226018778,1.0,1.0,0,1,0.75,18,0.14461489104562336,1.0,1.0,0.75,18,-0.15105153123537698,1.0,1.0,0.75,18,0.14771139870087305,1.0,1.0,0.75,18,-0.13645415587557685,1.0,1.0,48,6.17008282418167,0.016930663585662843,0.3925109164887947,0.014534051716327667,0.014352463930845261,0.5740985572338104,0.015001078766123482,0,0,2.3964066104699766,2.0170330423928915,1.9940264737572138,2.374840907329458,36,34,46,2.6090502792898067e-15,0.2821705564660577,0.0618102266841217,0.2821705564660577,0.2819583302008846,0,1.1617517708266754,0.40965039089107524,1.0013867635758698,0.4198318380808252,0,0,1
stability_s0.300_d0.750_v0.300_walk_p0.48_h0.025.npz,5,0.3,0.75,0.3,0.48,walk,0.025,0.0007954830168484672,1,0,1,0.75,0.0,0.29012939582268393,0.009870604177316056,0.00646446926726235,0.0064678317556778565,0.30683406442403793,0.0068340644240379445,0.0007809562056182775,0.00162506103515625,0.002044717610351492,0.0033198234159499407,0.0123793080473054,0.013954097452636437,1.0,1.0,0,1,0.75,18,0.14496733248233795,1.0,1.0,0.75,18,-0.1509442776441574,1.0,1.0,0.75,18,0.1474282733268208,1.0,1.0,0.75,18,-0.13691890819205177,1.0,1.0,48,5.502676278083977,0.016710692644119264,0.36119634746456347,0.0024675391592163427,0.0019260771084480166,0.07704308433792066,0.008983509752917746,0,0,2.2595696709053086,2.1045726446448167,2.101283016128924,2.255872483130258,36,34,46,2.4126997419724153e-15,0.08362053743952517,0.4693649527280645,0.4693649527280645,0.469311520434761,0,1.1593786146071692,0.2596565178789504,1.0322345492449698,0.2601444855013822,0,0,1
stability_s0.300_d0.750_v0.300_walk_p0.48_h0.025.npz,6,0.3,0.75,0.3,0.48,walk,0.025,0.0015264027427819471,1,0,1,0.75,0.0,0.28991764411330223,0.010082355886697758,0.00659068603482511,0.00658280476927757,0.3069254991908868,0.006925499190886808,0.000801324052232379,0.00168609619140625,0.0020083357045302458,0.003241906873881817,0.012423362002644819,0.014014363523095943,1.0,1.0,0,1,0.75,18,0.14483490834633508,1.0,1.0,0.75,18,-0.1509928752978643,1.0,1.0,0.75,18,0.14745860877964231,1.0,1.0,0.75,18,-0.13654889580276278,1.0,1.0,48,7.136245638161056,0.016978120803833006,0.4157284509299306,0.004871916770935058,0.007857286930084228,0.3142914772033691,0.009279590591534445,0,0,3.1572251869496886,3.0197044091922973,2.993682552578945,3.133924443313179,36,34,46,2.473466925004296e-15,0.2870695514493623,0.19029345938369868,0.2870695514493623,0.2861916272917541,0,1.2208117394524387,0.3768009168036679,1.1112623694681847,0.38575897691783206,0,0,1
stability_s0.300_d0.750_v0.300_walk_p0.48_h0.025.npz,7,0.3,0.75,0.3,0.48,walk,0.025,0.0020173732083501542,1,0,1,0.75,0.0,0.28993162140250206,0.010068378597497929,0.006608872902062201,0.0065928909927606555,0.30678435042500496,0.00678435042500497,0.0007910360063678742,0.00167083740234375,0.0019144737086102404,0.003030553460121155,0.012421066567892585,0.013935914391569352,1.0,1.0,0,1,0.75,18,0.14480988846884835,1.0,1.0,0.75,18,-0.15102037207947838,1.0,1.0,0.75,18,0.14750757896237904,1.0,1.0,0.75,18,-0.13652540329429838,1.0,1.0,48,10.536264822281204,0.020790255069732665,0.5706001504662046,0.007070422172546387,0.005887413024902343,0.23549652099609372,0.010929193845302942,0,0,4.131735963217873,3.777596218416481,3.7604723632901105,4.114043796648346,36,34,46,1.846789217056228e-15,0.2780377086571853,0.23815827248368165,0.2780377086571853,0.2671598108971343,0,1.3633091982289105,0.490509795767138,1.2639381136625933,0.4948245554294838,0,0,1
