file,reference,speed,command_df,step_width,period,gait,energy_topology_gate_pass,energy_no_termination_gate_pass,energy_periodic_orbit_gate_pass,cycle_rms,energy_reference_valid,positive_mechanical_cot,absolute_mechanical_cot,positive_work_j,absolute_work_j,forward_displacement_m,achieved_df,df_max_abs_error,achieved_stance_width,stance_width_abs_error,stance_foot_lateral_mae,all_phase_foot_lateral_mae,forward_speed,speed_abs_error,lateral_rmse,max_lateral_deviation,heading_rmse_rad,max_abs_heading_rad,world_lateral_velocity_rmse,body_yaw_rate_rmse,stance_recall_min,swing_recall_min,nominal_failure,command_gate_pass,df_FL,stance_samples_FL,stance_y_FL,stance_recall_FL,swing_recall_FL,df_FR,stance_samples_FR,stance_y_FR,stance_recall_FR,swing_recall_FR,df_RL,stance_samples_RL,stance_y_RL,stance_recall_RL,swing_recall_RL,df_RR,stance_samples_RR,stance_y_RR,stance_recall_RR,swing_recall_RR
energy_s0.200_d0.625_v0.400_trot_p0.48.npz,4,0.4,0.625,0.2,0.48,trot,1,1,1,0.00045014049012655867,1,0.20820043132102517,0.41780511632893785,24.118627914399376,48.44020359212671,0.7867710590362549,0.625,0.0,0.18624331410974265,0.013756685890257359,0.00796631155535579,0.006783803556269658,0.4103021218130986,0.010302121813098586,0.005466596056456,0.0070343017578125,0.010683224392784187,0.012164978310465813,0.005449172639323571,0.011883594476036853,1.0,1.0,0,1,0.625,60,0.08974757405618826,1.0,1.0,0.625,60,-0.10217593722045422,1.0,1.0,0.625,60,0.09299123510718346,1.0,1.0,0.625,60,-0.08757188183565935,1.0,1.0
energy_s0.200_d0.625_v0.400_trot_p0.48.npz,5,0.4,0.625,0.2,0.48,trot,1,1,1,0.0023710513773281894,1,0.20840775631006292,0.41740960051267006,24.156347126028354,48.33911961089584,0.7866058349609375,0.625,0.0,0.18622311806927125,0.013776881930728763,0.007992515619844199,0.006803547905292365,0.41037964386244613,0.010379643862446108,0.0068161488538390665,0.008331298828125,0.010682796476535375,0.012132490053772926,0.005435019664665823,0.011922189651792625,1.0,1.0,0,1,0.625,60,0.08969652466475964,1.0,1.0,0.625,60,-0.10220814930895965,1.0,1.0,0.625,60,0.09303139125307401,1.0,1.0,0.625,60,-0.0875101709117492,1.0,1.0
energy_s0.200_d0.625_v0.400_trot_p0.48.npz,6,0.4,0.625,0.2,0.48,trot,1,1,1,0.0017412880438745662,1,0.20874639458192096,0.41630412824187857,24.1618509486563,48.232440311133935,0.7865142822265625,0.625,0.0,0.18619031365960836,0.013809686340391647,0.00800833245739341,0.006817727737749618,0.4103905086716016,0.010390508671601573,0.004086522154563875,0.00566864013671875,0.010745108100861758,0.012183074839413166,0.005412246323373564,0.011874545059324745,1.0,1.0,0,1,0.625,60,0.08965992604692777,1.0,1.0,0.625,60,-0.10220697857439517,1.0,1.0,0.625,60,0.09304012767970563,1.0,1.0,0.625,60,-0.08747359501818816,1.0,1.0
energy_s0.200_d0.625_v0.400_trot_p0.48.npz,7,0.4,0.625,0.2,0.48,trot,1,1,1,0.0026487133624420005,1,0.20885120119758774,0.4166573440316278,24.19824435033191,48.28967764593506,0.7865142822265625,0.625,0.0,0.18621799585719903,0.01378200414280098,0.008002900208036106,0.006814423696293187,0.4104263869424661,0.01042638694246606,0.006589927106226616,0.008256912231445312,0.010644265122484016,0.012139295227825642,0.005422913044194373,0.011907421637388617,1.0,1.0,0,1,0.625,60,0.08966053153077762,1.0,1.0,0.625,60,-0.10222379627327124,1.0,1.0,0.625,60,0.0930724977205197,1.0,1.0,0.625,60,-0.08747916618982951,1.0,1.0
energy_s0.200_d0.750_v0.400_trot_p0.48.npz,0,0.4,0.75,0.2,0.48,trot,1,1,1,0.002842980323407393,1,0.27448736418091835,0.5603052870014189,31.69038105646438,64.70037362888962,0.783599853515625,0.75,0.0,0.19141151083426342,0.008588489165736596,0.006636553888933529,0.006381890076833469,0.4087378370265166,0.008737837026516593,0.022732072168866798,0.026580810546875,0.002780639341484017,0.005929111503064632,0.006756956853807273,0.030575508657300143,1.0,1.0,0,1,0.75,72,0.09448752862711747,1.0,1.0,0.75,72,-0.10468461861213048,1.0,1.0,0.75,72,0.09566900672184096,1.0,1.0,0.75,72,-0.08798186770743793,1.0,1.0
energy_s0.200_d0.750_v0.400_trot_p0.48.npz,1,0.4,0.75,0.2,0.48,trot,1,1,1,0.00261964222712277,1,0.27490823325153546,0.5617328612443909,31.58793800623827,64.52180912143228,0.7799072265625,0.75,0.0,0.19142187743758163,0.008578122562418383,0.006615657157575093,0.00635054505740603,0.4072964567070206,0.00729645670702056,0.01880487412137772,0.0224761962890625,0.0035645926640567845,0.006961697246879339,0.00680039202372172,0.030340340707623287,1.0,1.0,0,1,0.75,72,0.09460754009584586,1.0,1.0,0.75,72,-0.1046531917527318,1.0,1.0,0.75,72,0.09565835901432568,1.0,1.0,0.75,72,-0.0879246640122599,1.0,1.0
energy_s0.200_d0.750_v0.400_trot_p0.48.npz,2,0.4,0.75,0.2,0.48,trot,1,1,1,0.0011417606803289732,1,0.27453013470659343,0.5610101896396797,31.567743736045824,64.50491758054157,0.7806396484375,0.75,0.0,0.19139610380969113,0.00860389619030888,0.006607184346972243,0.006342988267230493,0.4071817969282468,0.007181796928246775,0.021774431166708658,0.025054931640625,0.0035686896003705947,0.007052033673971891,0.006794409408610977,0.030305176968791713,1.0,1.0,0,1,0.75,72,0.09459338451011313,1.0,1.0,0.75,72,-0.10461047250363562,1.0,1.0,0.75,72,0.09564110916107893,1.0,1.0,0.75,72,-0.0879472414445546,1.0,1.0
energy_s0.200_d0.750_v0.400_trot_p0.48.npz,3,0.4,0.75,0.2,0.48,trot,1,1,1,0.0013371451061878158,1,0.27418432305977347,0.5599913146799611,31.569617381715105,64.48398829487554,0.7816696166992188,0.75,0.0,0.1913913008239534,0.00860869917604662,0.006616622654514183,0.006352361699100586,0.4075456826637189,0.007545682663718856,0.024033403988422755,0.0276641845703125,0.003255508172971372,0.006707483436912298,0.00672915450805842,0.030474816832470955,1.0,1.0,0,1,0.75,72,0.09452490539600451,1.0,1.0,0.75,72,-0.10462454613298178,1.0,1.0,0.75,72,0.09566340047038263,1.0,1.0,0.75,72,-0.0879697496485379,1.0,1.0
energy_s0.200_d0.750_v0.400_trot_p0.48.npz,4,0.4,0.75,0.2,0.48,trot,1,1,1,0.0005837666006514512,1,0.2734327330285191,0.5594129990761318,31.52436155919228,64.49546665904543,0.7824848890304565,0.75,0.0,0.19143919315603045,0.008560806843969565,0.006604053783747888,0.006343575660139325,0.40801980905234814,0.008019809052348115,0.023270484669744282,0.02703857421875,0.0028763954808548463,0.006153414025902748,0.006703782662787778,0.030599810610708975,1.0,1.0,0,1,0.75,72,0.0944985073680679,1.0,1.0,0.75,72,-0.10464730072352621,1.0,1.0,0.75,72,0.09567897901352909,1.0,1.0,0.75,72,-0.08805359920693769,1.0,1.0
energy_s0.200_d0.750_v0.400_trot_p0.48.npz,5,0.4,0.75,0.2,0.48,trot,1,1,1,0.002513931573320233,1,0.27400953145401064,0.5599985405646617,31.543040496335788,64.4727909784194,0.7816009521484375,0.75,0.0,0.19138220030193528,0.008617799698064726,0.006607228274353679,0.006345859010859084,0.40757308683047694,0.007573086830476916,0.02229955676218758,0.02606201171875,0.003395720791291118,0.006645544432103634,0.006711204461580437,0.030450828209496003,1.0,1.0,0,1,0.75,72,0.09454710657397906,1.0,1.0,0.75,72,-0.10459665685064262,1.0,1.0,0.75,72,0.09563254937529564,1.0,1.0,0.75,72,-0.08798808780395323,1.0,1.0
