speed,command_df,step_width,period,gait,perturbation_h,references,valid_references,reference_valid_rate,periodic_orbit_gate_pass_rate,command_gate_pass_rate,hybrid_topology_gate_pass_rate,translation_symmetry_gate_pass_rate,numerical_gate_pass_rate,rank_gate_pass_rate,finite_difference_gate_pass_rate,chi_augmented_diagnostic_median,chi_augmented_median,chi_augmented_q025,chi_augmented_q975,chi_physical_conditional_diagnostic_median,chi_physical_conditional_median,chi_physical_conditional_q025,chi_physical_conditional_q975,chi_orbital_physical_diagnostic_median,chi_orbital_physical_median,chi_orbital_physical_q025,chi_orbital_physical_q975,chi_orbital_augmented_diagnostic_median,chi_orbital_augmented_median,chi_orbital_augmented_q025,chi_orbital_augmented_q975,condition_valid
0.25,0.75,0.1,0.48,walk,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.3046397757821815,nan,nan,nan,4.0953250947556015,nan,nan,nan,3.963137252670417,nan,nan,nan,5.2137866054206246,nan,nan,nan,0
0.25,0.75,0.2,0.48,walk,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.7667817831399588,nan,nan,nan,1.5763383774526456,nan,nan,nan,1.522377198831098,nan,nan,nan,1.7318599444569176,nan,nan,nan,0
0.25,0.75,0.3,0.48,walk,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.7361637047904175,nan,nan,nan,1.4765738408104427,nan,nan,nan,1.4491141994207266,nan,nan,nan,1.7184006471311317,nan,nan,nan,0
0.25,0.75,0.4,0.48,walk,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.04593643101935,nan,nan,nan,1.767530057471085,nan,nan,nan,1.7098335836386127,nan,nan,nan,1.9784977495587797,nan,nan,nan,0
0.25,0.75,0.5,0.48,walk,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.9677743408752453,nan,nan,nan,2.6128826475321483,nan,nan,nan,2.6022985168923696,nan,nan,nan,2.960673177132275,nan,nan,nan,0
0.3,0.75,0.1,0.48,walk,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.4166269144403465,nan,nan,nan,4.1639699194609445,nan,nan,nan,4.070151811440178,nan,nan,nan,5.3434567518314875,nan,nan,nan,0
0.3,0.75,0.2,0.48,walk,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.6844612067833316,nan,nan,nan,1.5355845574662093,nan,nan,nan,1.4904618816905746,nan,nan,nan,1.6487583106244565,nan,nan,nan,0
0.3,0.75,0.3,0.48,walk,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.019407589984805,nan,nan,nan,1.7978202980812044,nan,nan,nan,1.7758085256743454,nan,nan,nan,1.9902404306294077,nan,nan,nan,0
0.3,0.75,0.4,0.48,walk,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.665784579739275,nan,nan,nan,2.2894258045181113,nan,nan,nan,2.2599798416822563,nan,nan,nan,2.608443637153286,nan,nan,nan,0
0.3,0.75,0.5,0.48,walk,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.796682074964358,nan,nan,nan,2.465642911580121,nan,nan,nan,2.4472162529803585,nan,nan,nan,2.785310399220453,nan,nan,nan,0
