gait,speed,period,step_width,command_df,trials,energy_valid_rate,energy_condition_valid,positive_mechanical_cot_median,positive_mechanical_cot_median_all,periodic_rate,compliance_rate
trot,0.3,0.48,0.4,0.75,32,1.0,1,0.33124655549026627,0.33124655549026627,1.0,1.0
trot,0.3,0.48,0.5,0.5,32,0.9375,1,0.2828273284171855,0.28266204356956515,0.9375,1.0
trot,0.3,0.48,0.5,0.625,32,1.0,1,0.2703481578358166,0.2703481578358166,1.0,1.0
trot,0.3,0.48,0.5,0.75,32,1.0,1,0.3471718482358184,0.3471718482358184,1.0,1.0
trot,0.3,0.54,0.1,0.5,32,0.0,0,,0.1546285240192593,0.0,0.0
trot,0.3,0.54,0.1,0.625,32,1.0,1,0.21391286658024966,0.21391286658024966,1.0,1.0
trot,0.3,0.54,0.1,0.75,32,1.0,1,0.3430848294904165,0.3430848294904165,1.0,1.0
trot,0.3,0.54,0.2,0.5,32,0.0,0,,0.17989388601335357,0.875,0.0
trot,0.3,0.54,0.2,0.625,32,1.0,1,0.2291524914368876,0.2291524914368876,1.0,1.0
trot,0.3,0.54,0.2,0.75,32,1.0,1,0.34502142924332024,0.34502142924332024,1.0,1.0
trot,0.3,0.54,0.3,0.5,32,0.0,0,,0.2062121723959438,1.0,0.0
trot,0.3,0.54,0.3,0.625,32,1.0,1,0.23454365928858045,0.23454365928858045,1.0,1.0
trot,0.3,0.54,0.3,0.75,32,1.0,1,0.3430010571496184,0.3430010571496184,1.0,1.0
trot,0.3,0.54,0.4,0.5,32,0.0,0,,0.23359228721484276,0.5,0.0
trot,0.3,0.54,0.4,0.625,32,1.0,1,0.25277090689103854,0.25277090689103854,1.0,1.0
trot,0.3,0.54,0.4,0.75,32,1.0,1,0.35028875732176434,0.35028875732176434,1.0,1.0
trot,0.3,0.54,0.5,0.5,32,0.0,0,,0.264606525203021,0.03125,0.0
trot,0.3,0.54,0.5,0.625,32,1.0,1,0.27784708281848247,0.27784708281848247,1.0,1.0
trot,0.3,0.54,0.5,0.75,32,1.0,1,0.3569335807320687,0.3569335807320687,1.0,1.0
trot,0.35,0.36,0.1,0.5,32,0.0,0,,0.18504889432557567,1.0,0.0
trot,0.35,0.36,0.1,0.625,32,1.0,1,0.22581971456176392,0.22581971456176392,1.0,1.0
trot,0.35,0.36,0.2,0.5,32,0.0,0,,0.2034464016797094,1.0,0.0
trot,0.35,0.36,0.2,0.625,32,1.0,1,0.23231771067617935,0.23231771067617935,1.0,1.0
trot,0.35,0.36,0.3,0.5,32,0.0,0,,0.22095895064302104,1.0,0.0
