gait,speed,period,step_width,command_df,trials,valid_energy_trials,energy_valid_rate,energy_condition_valid,positive_mechanical_cot_median,finite_cot_trials,positive_mechanical_cot_median_all,periodic_rate,compliance_rate,achieved_df_mean,out_of_training_support
walk,0.3,0.48,0.4,0.75,32,0,0.0,0,,32,0.4611251933126421,1.0,0.0,0.7604166666666666,0
walk,0.3,0.48,0.4,0.8,32,32,1.0,1,0.49172348809143296,32,0.49172348809143296,1.0,1.0,0.8333333333333334,0
walk,0.3,0.48,0.4,0.85,32,32,1.0,1,0.528298955851353,32,0.528298955851353,1.0,1.0,0.8541666666666667,0
walk,0.3,0.48,0.4,0.9,32,0,0.0,0,,32,0.5017419496779657,1.0,0.0,0.875,0
walk,0.3,0.48,0.5,0.75,32,0,0.0,0,,32,0.4795041346345889,1.0,0.0,0.7604166666666666,0
walk,0.3,0.48,0.5,0.8,32,32,1.0,1,0.5043588313538153,32,0.5043588313538153,1.0,1.0,0.8333333333333334,0
walk,0.3,0.48,0.5,0.85,32,32,1.0,1,0.5499611702478682,32,0.5499611702478682,1.0,1.0,0.8541666666666667,0
walk,0.3,0.48,0.5,0.9,32,0,0.0,0,,32,0.5194155858475199,1.0,0.0,0.875,0
walk,0.35,0.48,0.1,0.75,32,0,0.0,0,,32,0.3762992744376684,1.0,0.0,0.7604166666666666,0
walk,0.35,0.48,0.1,0.8,32,32,1.0,1,0.4155102744276373,32,0.4155102744276373,1.0,1.0,0.8333333333333334,0
walk,0.35,0.48,0.1,0.85,32,32,1.0,1,0.44303048065525313,32,0.44303048065525313,1.0,1.0,0.8541666666666667,0
walk,0.35,0.48,0.1,0.9,32,0,0.0,0,,32,0.43146607867514875,1.0,0.0,0.8854166666666666,0
walk,0.35,0.48,0.2,0.75,32,0,0.0,0,,32,0.38287740364753164,1.0,0.0,0.7604166666666666,0
walk,0.35,0.48,0.2,0.8,32,32,1.0,1,0.42806828770378735,32,0.42806828770378735,1.0,1.0,0.8333333333333334,0
walk,0.35,0.48,0.2,0.85,32,32,1.0,1,0.45046248051753535,32,0.45046248051753535,1.0,1.0,0.8603515625,0
walk,0.35,0.48,0.2,0.9,32,0,0.0,0,,32,0.44602791876392744,1.0,0.0,0.875,0
walk,0.35,0.48,0.3,0.75,32,0,0.0,0,,32,0.40730332988932494,1.0,0.0,0.7604166666666666,0
walk,0.35,0.48,0.3,0.8,32,32,1.0,1,0.4504526347548715,32,0.4504526347548715,1.0,1.0,0.8333333333333334,0
walk,0.35,0.48,0.3,0.85,32,32,1.0,1,0.47654006625306194,32,0.47654006625306194,1.0,1.0,0.8541666666666667,0
