gait,policy,condition,period,speed,step_width,command_df,trials,success,failure,timeout,success_rate,ci_low,ci_high,mean_travel_m,mean_end_time_s
trot,base,nominal,0.48,0.40,0.4,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003823168575764,10.0
trot,base,nominal,0.48,0.40,0.4,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.0040658712387085,10.136875
trot,base,nominal,0.48,0.40,0.4,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.0038265362381935,10.11625
trot,base,nominal,0.48,0.40,0.5,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.004908449947834,9.9290625
trot,base,nominal,0.48,0.40,0.5,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.00425561517477,10.0628125
trot,base,nominal,0.48,0.40,0.5,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.003408946096897,10.173125
trot,base,nominal,0.54,0.30,0.1,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.002889439463615,13.099999999999998
trot,base,nominal,0.54,0.30,0.1,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003244921565056,13.06375
trot,base,nominal,0.54,0.30,0.1,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.003283642232418,13.1925
trot,base,nominal,0.54,0.30,0.2,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.002716399729252,13.27375
trot,base,nominal,0.54,0.30,0.2,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.002855129539967,13.2228125
trot,base,nominal,0.54,0.30,0.2,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.002894222736359,13.236249999999998
trot,base,nominal,0.54,0.30,0.3,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003096044063568,13.215937499999999
trot,base,nominal,0.54,0.30,0.3,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.002915918827057,13.2665625
trot,base,nominal,0.54,0.30,0.3,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.003401927649975,13.3171875
trot,base,nominal,0.54,0.30,0.4,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003390155732632,13.235624999999999
trot,base,nominal,0.54,0.30,0.4,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.0033213570714,13.1828125
trot,base,nominal,0.54,0.30,0.4,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.003044322133064,13.326875000000001
trot,base,nominal,0.54,0.30,0.5,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.002842538058758,13.2696875
trot,base,nominal,0.54,0.30,0.5,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003614746034145,13.090312499999998
