gait,speed,period,step_width,target_df,target_success,target_trials,best_success,best_trials,target_df_ci_low,target_df_ci_high,candidates
trot,0.4,0.4,0.25,0.5,64,64,64,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.4,0.4,0.3,0.5,64,64,64,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.4,0.48,0.1,0.75,29,64,29,64,0.7,0.75,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.4,0.48,0.15,0.6,54,64,60,64,0.55,0.75,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.4,0.48,0.2,0.5,61,64,63,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.4,0.48,0.25,0.5,63,64,64,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.4,0.48,0.3,0.5,63,64,64,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.4,0.54,0.1,0.75,23,64,23,64,0.7,0.75,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.4,0.54,0.15,0.75,59,64,59,64,0.6,0.75,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.4,0.54,0.2,0.5,59,64,64,64,0.5,0.55,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.4,0.54,0.25,0.5,62,64,64,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.4,0.54,0.3,0.5,64,64,64,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7 0.75
walk,0.25,0.4,0.15,0.8,39,64,39,64,0.8,0.85,0.75 0.8 0.85 0.9
walk,0.25,0.4,0.2,0.8,61,64,62,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.25,0.4,0.25,0.8,63,64,64,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.25,0.4,0.3,0.8,63,64,64,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.25,0.48,0.15,0.8,43,64,47,64,0.8,0.9,0.75 0.8 0.85 0.9
walk,0.25,0.48,0.2,0.8,63,64,64,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.25,0.48,0.25,0.75,58,64,64,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.25,0.48,0.3,0.8,64,64,64,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.25,0.54,0.15,0.8,41,64,44,64,0.8,0.9,0.75 0.8 0.85 0.9
walk,0.25,0.54,0.2,0.75,58,64,64,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.25,0.54,0.25,0.75,63,64,64,64,0.75,0.75,0.75 0.8 0.85 0.9
walk,0.25,0.54,0.3,0.75,63,64,64,64,0.75,0.75,0.75 0.8 0.85 0.9
walk,0.3,0.4,0.1,0.85,5,64,5,64,0.8,0.9,0.75 0.8 0.85 0.9
walk,0.3,0.4,0.15,0.8,46,64,51,64,0.8,0.85,0.75 0.8 0.85 0.9
walk,0.3,0.4,0.2,0.8,60,64,63,64,0.75,0.85,0.75 0.8 0.85 0.9
walk,0.3,0.4,0.25,0.75,59,64,64,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.3,0.4,0.3,0.8,63,64,64,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.3,0.48,0.1,0.8,8,64,8,64,0.8,0.9,0.75 0.8 0.85 0.9
walk,0.3,0.48,0.15,0.8,48,64,49,64,0.8,0.9,0.75 0.8 0.85 0.9
walk,0.3,0.48,0.2,0.8,63,64,64,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.3,0.48,0.25,0.75,58,64,64,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.3,0.48,0.3,0.75,61,64,64,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.3,0.54,0.1,0.9,9,64,9,64,0.8,0.9,0.75 0.8 0.85 0.9
walk,0.3,0.54,0.15,0.85,49,64,49,64,0.8,0.9,0.75 0.8 0.85 0.9
walk,0.3,0.54,0.2,0.75,58,64,64,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.3,0.54,0.25,0.75,62,64,64,64,0.75,0.75,0.75 0.8 0.85 0.9
walk,0.3,0.54,0.3,0.75,63,64,64,64,0.75,0.75,0.75 0.8 0.85 0.9
walk,0.35,0.4,0.1,0.85,16,64,16,64,0.75,0.85,0.75 0.8 0.85 0.9
walk,0.35,0.4,0.15,0.8,53,64,53,64,0.75,0.85,0.75 0.8 0.85 0.9
walk,0.35,0.4,0.2,0.75,58,64,64,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.35,0.4,0.25,0.75,59,64,64,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.35,0.4,0.3,0.75,59,64,64,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.35,0.48,0.1,0.8,20,64,20,64,0.8,0.85,0.75 0.8 0.85 0.9
walk,0.35,0.48,0.15,0.8,54,64,58,64,0.8,0.9,0.75 0.8 0.85 0.9
walk,0.35,0.48,0.2,0.75,59,64,64,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.35,0.48,0.25,0.75,62,64,64,64,0.75,0.75,0.75 0.8 0.85 0.9
walk,0.35,0.48,0.3,0.75,62,64,64,64,0.75,0.75,0.75 0.8 0.85 0.9
walk,0.35,0.54,0.1,0.85,16,64,16,64,0.8,0.9,0.75 0.8 0.85 0.9
walk,0.35,0.54,0.15,0.8,53,64,55,64,0.8,0.9,0.75 0.8 0.85 0.9
walk,0.35,0.54,0.2,0.75,63,64,64,64,0.75,0.75,0.75 0.8 0.85 0.9
walk,0.35,0.54,0.25,0.75,63,64,64,64,0.75,0.75,0.75 0.8 0.85 0.9
walk,0.35,0.54,0.3,0.75,64,64,64,64,0.75,0.75,0.75 0.8 0.85 0.9
walk,0.4,0.4,0.1,0.85,24,64,24,64,0.8,0.85,0.75 0.8 0.85 0.9
walk,0.4,0.4,0.15,0.75,57,64,59,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.4,0.4,0.2,0.75,59,64,64,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.4,0.4,0.25,0.75,61,64,64,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.4,0.4,0.3,0.75,61,64,64,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.4,0.48,0.1,0.8,27,64,27,64,0.8,0.9,0.75 0.8 0.85 0.9
walk,0.4,0.48,0.15,0.8,61,64,61,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.4,0.48,0.2,0.75,60,64,64,64,0.75,0.8,0.75 0.8 0.85 0.9
walk,0.4,0.48,0.25,0.75,62,64,64,64,0.75,0.75,0.75 0.8 0.85 0.9
walk,0.4,0.48,0.3,0.75,63,64,64,64,0.75,0.75,0.75 0.8 0.85 0.9
walk,0.4,0.54,0.1,0.85,30,64,30,64,0.8,0.85,0.75 0.8 0.85 0.9
walk,0.4,0.54,0.15,0.8,56,64,61,64,0.8,0.85,0.75 0.8 0.85 0.9
walk,0.4,0.54,0.2,0.75,63,64,64,64,0.75,0.75,0.75 0.8 0.85 0.9
walk,0.4,0.54,0.25,0.75,63,64,64,64,0.75,0.75,0.75 0.8 0.85 0.9
walk,0.4,0.54,0.3,0.75,64,64,64,64,0.75,0.75,0.75 0.8 0.85 0.9
